user_id,Recency,frequency,monetory,cluster
1.5159156254546826e+18,4,2,261.3,0
1.5159156254548577e+18,4,3,1380.98,0
1.5159156254548923e+18,4,6,867.9200000000001,0
1.515915625454902e+18,4,9,1379.68,0
1.515915625449509e+18,4,2,190.69,0
1.5159156254549394e+18,4,1,10.39,0
1.515915625442499e+18,4,6,852.65,0
1.5159156254439114e+18,4,1,18.5,0
1.5159156254550628e+18,4,1,6.92,0
1.5159156254485706e+18,4,3,368.66,0
1.5159156254547377e+18,4,1,254.61,0
1.5159156254552008e+18,4,2,125.12,0
1.5159156254489124e+18,4,2,166.83,0
1.5159156254552212e+18,4,1,25.44,0
1.5159156254550897e+18,4,1,30.07,0
1.5159156254418708e+18,4,12,2717.5,0
1.5159156254552837e+18,4,1,39.33,0
1.515915625455261e+18,4,1,224.98,0
1.5159156254553464e+18,4,4,388.79,0
1.5159156254553513e+18,4,2,89.05000000000001,0
1.5159156254417024e+18,4,12,3183.3,0
1.5159156254554248e+18,4,1,196.74,0
1.5159156254538552e+18,4,1,60.16,0
1.5159156254927636e+18,4,9,2202.0800000000004,0
1.5159156254551122e+18,4,3,516.12,0
1.515915625455552e+18,4,3,599.47,0
1.5159156254513925e+18,4,23,8351.800000000001,0
1.5159156254555612e+18,4,2,532.13,0
1.5159156254551232e+18,4,1,2.29,0
1.515915625450468e+18,4,2,601.81,0
1.5159156254553933e+18,4,2,233.75,0
1.5159156254554573e+18,4,2,182.82,0
1.515915625453447e+18,4,1,64.79,0
1.5159156254552996e+18,4,1,138.63,0
1.5159156254556204e+18,4,1,203.63,0
1.5159156254556685e+18,4,1,138.63,0
1.5159156254556664e+18,4,1,4.61,0
1.5159156254555722e+18,4,3,518.45,0
1.5159156254557652e+18,4,1,509.24,0
1.5159156254536325e+18,4,7,1491.04,0
1.5159156254482578e+18,4,3,1198.55,0
1.5159156254492493e+18,4,3,1055.44,0
1.5159156254503048e+18,4,1,45.12,0
1.5159156254516273e+18,4,2,536.99,0
1.5159156254467515e+18,4,1,69.42,0
1.5159156254476672e+18,4,8,8726.02,0
1.5159156254522322e+18,4,1,393.5,0
1.515915625455112e+18,4,2,145.56,0
1.5159156254527488e+18,4,1,5.76,0
1.5159156254558932e+18,4,2,222.64,0
1.5159156254554363e+18,4,2,219.86,0
1.5159156254535416e+18,4,9,5956.66,0
1.515915625456068e+18,4,2,613.15,0
1.5159156254543255e+18,4,1,115.72,0
1.515915625449312e+18,4,1,145.81,0
1.515915625441656e+18,4,7,1074.04,0
1.5159156254560983e+18,4,2,202.81,0
1.515915625452792e+18,4,2,218.68,0
1.5159156254496005e+18,4,3,1238.36,0
1.5159156254561572e+18,4,1,52.02,0
1.5159156254504054e+18,4,3,1356.15,0
1.5159156254562388e+18,4,1,18.5,0
1.5159156254419668e+18,4,2,761.48,0
1.515915625452035e+18,4,5,1707.74,0
1.5159156254546417e+18,4,1,150.44,0
1.5159156254558648e+18,4,3,1164.2800000000002,0
1.5159156254562803e+18,4,1,254.61,0
1.5159156254562985e+18,4,1,57.85,0
1.5159156254563223e+18,4,3,1327.64,0
1.5159156254516178e+18,4,3,290.85,0
1.5159156254495311e+18,4,1,451.37,0
1.5159156254564037e+18,4,3,1402.62,0
1.515915625456412e+18,4,1,18.5,0
1.515915625456408e+18,4,1,72.92,0
1.5159156254564562e+18,4,1,162.01,0
1.5159156254413368e+18,4,1,41.64,0
1.5159156254541396e+18,4,1,694.42,0
1.5159156254565809e+18,4,1,462.71,0
1.5159156254456673e+18,4,1,157.38,0
1.5159156254484713e+18,4,2,1087.69,0
1.515915625456376e+18,4,1,601.83,0
1.5159156254448453e+18,4,1,122.66,0
1.5159156254566615e+18,4,1,10.86,0
1.5159156254456187e+18,4,1,27.75,0
1.5159156254497912e+18,4,2,837.92,0
1.5159156254566648e+18,4,2,37.900000000000006,0
1.5159156254540662e+18,4,2,41.63,0
1.515915625456706e+18,4,1,187.48,0
1.5159156254563538e+18,4,5,904.0,0
1.5159156254567078e+18,4,1,18.5,0
1.5159156254567283e+18,4,1,138.63,0
1.5159156254538458e+18,4,11,1132.3200000000002,0
1.515915625453415e+18,4,2,98.06,0
1.5159156254433116e+18,4,10,1090.7599999999998,0
1.5159156254427548e+18,4,2,290.0,0
1.5159156254568545e+18,4,6,2934.5800000000004,0
1.5159156254568594e+18,4,4,1296.2,0
1.515915625456912e+18,4,1,20.81,0
1.5159156254569236e+18,4,4,205.94,0
1.5159156254435213e+18,4,2,71.46000000000001,0
1.5159156254569375e+18,4,1,8.08,0
1.515915625453094e+18,4,1,23.13,0
1.515915625442772e+18,4,4,1417.78,0
1.5159156254570898e+18,4,5,1615.38,0
1.5159156254571018e+18,4,1,25.44,0
1.5159156254569326e+18,4,1,462.71,0
1.515915625443343e+18,4,7,626.6899999999999,0
1.5159156254571151e+18,4,1,55.53,0
1.5159156254435553e+18,4,13,4568.92,0
1.5159156254499812e+18,4,1,85.39,0
1.5159156254571423e+18,4,1,486.09,0
1.515915625449858e+18,4,8,2715.04,0
1.5159156255126625e+18,4,18,8751.269999999999,0
1.5159156254572206e+18,4,1,347.2,0
1.5159156254516846e+18,4,3,935.12,0
1.5159156254570854e+18,4,1,12.48,0
1.515915625451226e+18,4,3,266.14,0
1.5159156254549256e+18,4,1,46.27,0
